author,name,url,page,retrieved
delapouite,anticlockwise-rotation,https://raw.githubusercontent.com/game-icons/icons/master/delapouite/anticlockwise-rotation.svg,https://game-icons.net/1x1/delapouite/anticlockwise-rotation.html,2026-09-24
delapouite,leg-armor,https://raw.githubusercontent.com/game-icons/icons/master/delapouite/leg-armor.svg,https://game-icons.net/1x1/delapouite/leg-armor.html,2026-09-24
delapouite,plain-arrow,https://raw.githubusercontent.com/game-icons/icons/master/delapouite/plain-arrow.svg,https://game-icons.net/1x1/delapouite/plain-arrow.html,2026-09-24
delapouite,split-arrows,https://raw.githubusercontent.com/game-icons/icons/master/delapouite/split-arrows.svg,https://game-icons.net/1x1/delapouite/split-arrows.html,2026-09-24
lorc,anvil,https://raw.githubusercontent.com/game-icons/icons/master/lorc/anvil.svg,https://game-icons.net/1x1/lorc/anvil.html,2026-09-24
lorc,anvil-impact,https://raw.githubusercontent.com/game-icons/icons/master/lorc/anvil-impact.svg,https://game-icons.net/1x1/lorc/anvil-impact.html,2026-09-24
lorc,campfire,https://raw.githubusercontent.com/game-icons/icons/master/lorc/campfire.svg,https://game-icons.net/1x1/lorc/campfire.html,2026-09-24
lorc,cog,https://raw.githubusercontent.com/game-icons/icons/master/lorc/cog.svg,https://game-icons.net/1x1/lorc/cog.html,2026-09-24
lorc,crossed-swords,https://raw.githubusercontent.com/game-icons/icons/master/lorc/crossed-swords.svg,https://game-icons.net/1x1/lorc/crossed-swords.html,2026-09-24
lorc,crowned-skull,https://raw.githubusercontent.com/game-icons/icons/master/lorc/crowned-skull.svg,https://game-icons.net/1x1/lorc/crowned-skull.html,2026-09-24
lorc,crystal-ball,https://raw.githubusercontent.com/game-icons/icons/master/lorc/crystal-ball.svg,https://game-icons.net/1x1/lorc/crystal-ball.html,2026-09-24
lorc,drop,https://raw.githubusercontent.com/game-icons/icons/master/lorc/drop.svg,https://game-icons.net/1x1/lorc/drop.html,2026-09-24
lorc,gem-pendant,https://raw.githubusercontent.com/game-icons/icons/master/lorc/gem-pendant.svg,https://game-icons.net/1x1/lorc/gem-pendant.html,2026-09-24
lorc,heart-drop,https://raw.githubusercontent.com/game-icons/icons/master/lorc/heart-drop.svg,https://game-icons.net/1x1/lorc/heart-drop.html,2026-09-24
lorc,horned-skull,https://raw.githubusercontent.com/game-icons/icons/master/lorc/horned-skull.svg,https://game-icons.net/1x1/lorc/horned-skull.html,2026-09-24
lorc,mirror-mirror,https://raw.githubusercontent.com/game-icons/icons/master/lorc/mirror-mirror.svg,https://game-icons.net/1x1/lorc/mirror-mirror.html,2026-09-24
lorc,portal,https://raw.githubusercontent.com/game-icons/icons/master/lorc/portal.svg,https://game-icons.net/1x1/lorc/portal.html,2026-09-24
lorc,power-lightning,https://raw.githubusercontent.com/game-icons/icons/master/lorc/power-lightning.svg,https://game-icons.net/1x1/lorc/power-lightning.html,2026-09-24
lorc,scroll-unfurled,https://raw.githubusercontent.com/game-icons/icons/master/lorc/scroll-unfurled.svg,https://game-icons.net/1x1/lorc/scroll-unfurled.html,2026-09-24
lorc,snowflake-2,https://raw.githubusercontent.com/game-icons/icons/master/lorc/snowflake-2.svg,https://game-icons.net/1x1/lorc/snowflake-2.html,2026-09-24
lorc,stone-block,https://raw.githubusercontent.com/game-icons/icons/master/lorc/stone-block.svg,https://game-icons.net/1x1/lorc/stone-block.html,2026-09-24
lorc,vortex,https://raw.githubusercontent.com/game-icons/icons/master/lorc/vortex.svg,https://game-icons.net/1x1/lorc/vortex.html,2026-09-24
sbed,fire,https://raw.githubusercontent.com/game-icons/icons/master/sbed/fire.svg,https://game-icons.net/1x1/sbed/fire.html,2026-09-24
sbed,help,https://raw.githubusercontent.com/game-icons/icons/master/sbed/help.svg,https://game-icons.net/1x1/sbed/help.html,2026-09-24
sbed,shield,https://raw.githubusercontent.com/game-icons/icons/master/sbed/shield.svg,https://game-icons.net/1x1/sbed/shield.html,2026-09-24
