id,file,type,px_full,px_small,rough_label,source_variant,license,notes
pipo-enemy001,pipo-enemy001.png,enemy,480x480,256x256,bat,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy002,pipo-enemy002.png,enemy,480x480,256x256,werewolf,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy003,pipo-enemy003.png,enemy,480x480,256x256,snake,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy004,pipo-enemy004.png,enemy,480x480,256x256,beetle,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy005,pipo-enemy005.png,enemy,480x480,256x256,caterpillar,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy006,pipo-enemy006.png,enemy,480x480,256x256,treant,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy007,pipo-enemy007.png,enemy,480x480,256x256,man-eating plant,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy008,pipo-enemy008.png,enemy,480x480,256x256,mushroom,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy009,pipo-enemy009.png,enemy,480x480,256x256,slime,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy010,pipo-enemy010.png,enemy,480x480,256x256,ghost,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy011,pipo-enemy011.png,enemy,480x480,256x256,zombie,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy012,pipo-enemy012.png,enemy,480x480,256x256,fire spirit,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy013,pipo-enemy013.png,enemy,480x480,256x256,imp,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy014,pipo-enemy014.png,enemy,480x480,256x256,cat fiend,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy015,pipo-enemy015.png,enemy,480x480,256x256,ogre with club,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy016,pipo-enemy016.png,enemy,480x480,256x256,lizardman,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy017,pipo-enemy017.png,enemy,480x480,256x256,shadow wraith,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy018,pipo-enemy018.png,enemy,480x480,256x256,armored knight,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy019,pipo-enemy019.png,enemy,480x480,256x256,red oni,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy020,pipo-enemy020.png,enemy,480x480,256x256,eyeball trident,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy021,pipo-enemy021.png,enemy,480x480,256x256,green dragon,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy022,pipo-enemy022.png,enemy,480x480,256x256,griffin,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy023,pipo-enemy023.png,enemy,480x480,256x256,cerberus,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy024,pipo-enemy024.png,enemy,480x480,256x256,purple devil,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy025,pipo-enemy025.png,enemy,480x480,256x256,dark mage,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy026,pipo-enemy026.png,enemy,480x480,256x256,skeleton knight,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy027,pipo-enemy027.png,enemy,480x480,256x256,spider,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy028,pipo-enemy028.png,enemy,480x480,256x256,scorpion,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy029,pipo-enemy029.png,enemy,480x480,256x256,smoke cloud,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy030,pipo-enemy030.png,enemy,480x480,256x256,egg,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy031,pipo-enemy031.png,enemy,480x480,256x256,sheep,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy032,pipo-enemy032.png,enemy,480x480,256x256,mimic chest,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy033,pipo-enemy033.png,enemy,480x480,256x256,pyramid golem,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy034,pipo-enemy034.png,enemy,480x480,256x256,mouse,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy035,pipo-enemy035.png,enemy,480x480,256x256,chick,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy036,pipo-enemy036.png,enemy,480x480,256x256,chicken,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy037,pipo-enemy037.png,enemy,480x480,256x256,bear,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy038,pipo-enemy038.png,enemy,480x480,256x256,jack-o-lantern,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy039,pipo-enemy039.png,enemy,480x480,256x256,skeleton,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy040,pipo-enemy040.png,enemy,480x480,256x256,gargoyle,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy041,pipo-enemy041.png,enemy,480x480,256x256,cat swordsman,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy042,pipo-enemy042.png,enemy,480x480,256x256,anglerfish,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy043,pipo-enemy043.png,enemy,480x480,256x256,dark lord,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy044,pipo-enemy044.png,enemy,480x480,256x256,demon dragon,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy045,pipo-enemy045.png,enemy,480x480,256x256,tentacle horror,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy046,pipo-enemy046.png,enemy,480x480,256x256,jellyfish,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy047,pipo-enemy047.png,enemy,480x480,256x256,black cat,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy048,pipo-enemy048.png,enemy,480x480,256x256,reaper ghost,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy049,pipo-enemy049.png,enemy,480x480,256x256,pig,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-enemy050,pipo-enemy050.png,enemy,480x480,256x256,scarecrow,shade,VERIFIERA pipoya.itch.io,recolors a/b removed
pipo-boss001,pipo-boss001.png,boss,1280x600,640x300,,shade,VERIFIERA pipoya.itch.io,
pipo-boss002,pipo-boss002.png,boss,1280x600,640x300,,shade,VERIFIERA pipoya.itch.io,
pipo-boss003,pipo-boss003.png,boss,1280x600,640x300,,shade,VERIFIERA pipoya.itch.io,
pipo-boss004,pipo-boss004.png,boss,1280x600,640x300,,shade,VERIFIERA pipoya.itch.io,
